filename,path,file type,size (bytes)
047902.csv,/pub10/ushcn_snow/R_input/CA,csv,2285175
047916.csv,/pub10/ushcn_snow/R_input/CA,csv,1876032
047965.csv,/pub10/ushcn_snow/R_input/CA,csv,1676520
048702.csv,/pub10/ushcn_snow/R_input/CA,csv,2225356
048758.csv,/pub10/ushcn_snow/R_input/CA,csv,2622168
048839.csv,/pub10/ushcn_snow/R_input/CA,csv,1893808
049087.csv,/pub10/ushcn_snow/R_input/CA,csv,2178504
049122.csv,/pub10/ushcn_snow/R_input/CA,csv,1527198
049200.csv,/pub10/ushcn_snow/R_input/CA,csv,1823777
049452.csv,/pub10/ushcn_snow/R_input/CA,csv,1751447
049490.csv,/pub10/ushcn_snow/R_input/CA,csv,1956692
049699.csv,/pub10/ushcn_snow/R_input/CA,csv,2046774
049855.csv,/pub10/ushcn_snow/R_input/CA,csv,2412930
049866.csv,/pub10/ushcn_snow/R_input/CA,csv,2001089
050848.csv,/pub10/ushcn_snow/R_input/CO,csv,2741922
051294.csv,/pub10/ushcn_snow/R_input/CO,csv,2706984
051528.csv,/pub10/ushcn_snow/R_input/CO,csv,2724750
051564.csv,/pub10/ushcn_snow/R_input/CO,csv,3108020
051741.csv,/pub10/ushcn_snow/R_input/CO,csv,2443630
052184.csv,/pub10/ushcn_snow/R_input/CO,csv,2410180
052281.csv,/pub10/ushcn_snow/R_input/CO,csv,2739600
052446.csv,/pub10/ushcn_snow/R_input/CO,csv,2296338
053005.csv,/pub10/ushcn_snow/R_input/CO,csv,3087360
053038.csv,/pub10/ushcn_snow/R_input/CO,csv,2585749
053146.csv,/pub10/ushcn_snow/R_input/CO,csv,2477036
053662.csv,/pub10/ushcn_snow/R_input/CO,csv,3029116
053951.csv,/pub10/ushcn_snow/R_input/CO,csv,2465976
054076.csv,/pub10/ushcn_snow/R_input/CO,csv,2589416
054770.csv,/pub10/ushcn_snow/R_input/CO,csv,2688576
054834.csv,/pub10/ushcn_snow/R_input/CO,csv,2812608
055322.csv,/pub10/ushcn_snow/R_input/CO,csv,2388297
055722.csv,/pub10/ushcn_snow/R_input/CO,csv,2905473
057167.csv,/pub10/ushcn_snow/R_input/CO,csv,3127663
057337.csv,/pub10/ushcn_snow/R_input/CO,csv,2500120
057936.csv,/pub10/ushcn_snow/R_input/CO,csv,3055562
058204.csv,/pub10/ushcn_snow/R_input/CO,csv,2799156
058429.csv,/pub10/ushcn_snow/R_input/CO,csv,2489550
059243.csv,/pub10/ushcn_snow/R_input/CO,csv,2504040
062658.csv,/pub10/ushcn_snow/R_input/CT,csv,2014575
063207.csv,/pub10/ushcn_snow/R_input/CT,csv,1522928
067970.csv,/pub10/ushcn_snow/R_input/CT,csv,1378916
068138.csv,/pub10/ushcn_snow/R_input/CT,csv,2659548
072730.csv,/pub10/ushcn_snow/R_input/DE,csv,2099981
073595.csv,/pub10/ushcn_snow/R_input/DE,csv,664050
075915.csv,/pub10/ushcn_snow/R_input/DE,csv,1838160
076410.csv,/pub10/ushcn_snow/R_input/DE,csv,1917396
079605.csv,/pub10/ushcn_snow/R_input/DE,csv,2252205
080211.csv,/pub10/ushcn_snow/R_input/FL,csv,2273425
080228.csv,/pub10/ushcn_snow/R_input/FL,csv,1524969
080478.csv,/pub10/ushcn_snow/R_input/FL,csv,1547816
080611.csv,/pub10/ushcn_snow/R_input/FL,csv,1459927
082220.csv,/pub10/ushcn_snow/R_input/FL,csv,1727973
082850.csv,/pub10/ushcn_snow/R_input/FL,csv,1573344
082915.csv,/pub10/ushcn_snow/R_input/FL,csv,1691625
082944.csv,/pub10/ushcn_snow/R_input/FL,csv,1856244
083163.csv,/pub10/ushcn_snow/R_input/FL,csv,1702800
083186.csv,/pub10/ushcn_snow/R_input/FL,csv,1481013
083207.csv,/pub10/ushcn_snow/R_input/FL,csv,1627604
084289.csv,/pub10/ushcn_snow/R_input/FL,csv,1702476
084570.csv,/pub10/ushcn_snow/R_input/FL,csv,1338948
084731.csv,/pub10/ushcn_snow/R_input/FL,csv,1675500
085275.csv,/pub10/ushcn_snow/R_input/FL,csv,1485570
086414.csv,/pub10/ushcn_snow/R_input/FL,csv,1550380
086997.csv,/pub10/ushcn_snow/R_input/FL,csv,1825137
087020.csv,/pub10/ushcn_snow/R_input/FL,csv,913896
087851.csv,/pub10/ushcn_snow/R_input/FL,csv,1623060
088758.csv,/pub10/ushcn_snow/R_input/FL,csv,1492640
088824.csv,/pub10/ushcn_snow/R_input/FL,csv,1907423
088942.csv,/pub10/ushcn_snow/R_input/FL,csv,1656576
090140.csv,/pub10/ushcn_snow/R_input/GA,csv,3124327
090586.csv,/pub10/ushcn_snow/R_input/GA,csv,924537
091340.csv,/pub10/ushcn_snow/R_input/GA,csv,2072135
091500.csv,/pub10/ushcn_snow/R_input/GA,csv,1788646
092318.csv,/pub10/ushcn_snow/R_input/GA,csv,1752635
092475.csv,/pub10/ushcn_snow/R_input/GA,csv,2160672
092966.csv,/pub10/ushcn_snow/R_input/GA,csv,1717179
093621.csv,/pub10/ushcn_snow/R_input/GA,csv,2333883
093754.csv,/pub10/ushcn_snow/R_input/GA,csv,2242760
094170.csv,/pub10/ushcn_snow/R_input/GA,csv,2201796
095874.csv,/pub10/ushcn_snow/R_input/GA,csv,1867200
095882.csv,/pub10/ushcn_snow/R_input/GA,csv,1781424
096335.csv,/pub10/ushcn_snow/R_input/GA,csv,1762930
097276.csv,/pub10/ushcn_snow/R_input/GA,csv,2975688
097600.csv,/pub10/ushcn_snow/R_input/GA,csv,2149752
097847.csv,/pub10/ushcn_snow/R_input/GA,csv,1763658
098535.csv,/pub10/ushcn_snow/R_input/GA,csv,2124675
098703.csv,/pub10/ushcn_snow/R_input/GA,csv,2179536
098740.csv,/pub10/ushcn_snow/R_input/GA,csv,2117724
099141.csv,/pub10/ushcn_snow/R_input/GA,csv,2120060
099157.csv,/pub10/ushcn_snow/R_input/GA,csv,2008188
099186.csv,/pub10/ushcn_snow/R_input/GA,csv,2152050
